word,meaning
overhead,adv. 在头顶上
prey,n. 捕食
catalogue,n. 目录
prerequisite,
assessment,n. 评定
suggest,vt. 提议
volt,n. 伏特（电压单位）
weed,n. 杂草
screw,n. 螺旋；螺丝钉；吝啬鬼
enlighten,vt. 启发
textile,n. 纺织品
hesitate,vt. 踌躇
tutor,n. 导师
topsoil,n. 表层土
background,n. 背景
impossible,n. 不可能
promise,n. 许诺
battery,n. [电] 电池
thunder,n. 雷
delicate,adj. 微妙的；精美的
account,n. 账户；解释；账目
booklet,
layout,n. 布局
venture,n. 企业
shrink,vi. 收缩；畏缩
gland,
curriculum,
shortage,n. 缺乏
accreditation,n. 委派
clerk,n. 职员
attach,vi. 附加
flip,n. 弹
comment,n. 评论
emphasize,vt. 强调
flame,n. 火焰
foresee,vt. 预见
historic,adj. 有历史意义的
provision,n. 规定
president,n. 总统
internist,
reception,n. 接待
suspend,vt. 延缓
explorer,n. 探险家
untrustworthy,adj. 靠不住的
prospective,n. 预期
percentage,n. 百分比；百分率
clue,n. 线索
stammer,n. 口吃
hawk,n. 鹰；鹰派成员；兜售
swamp,n.沼泽；湿地,下沉swamped
jealous,adj. 妒忌的
favour,n. 偏爱
fickle,adj. 浮躁的
uphill,n. 上升；登高， 上坡的
succeed,vi. 成功
gender,n. 性别；性交，生（gendered）
consecutive,adj. 连贯的
diversion,n. 转移
donate,n. 捐赠
defence,n. 防御
volume,n. 量
refund,n. 退款；偿还
regardless,adj. 不管的；不顾的
emboss,vt. 使凸出
internationalist,n. 国际主义者
scatter,n. 分散；散播
appetite,n. 食欲
prevail,vi. 盛行
glossary,n. 术语（特殊用语）表
consolidation,n. 巩固
sulphuric acid,
goodwill,n. [贸易] 商誉
amass,vt. 积聚
federal,adv. 联邦政府地， 联邦的
consideration,n. 考虑
grip,n. 紧握
mansion,n. 大厦
galaxy,n. 银河
route,n. 路线
deficiency,n. 缺陷
opposite,adj. 相反的
sensational,adj. 轰动的
participation,n. 参与
relief,n. 救济；减轻
cultivation,n. 培养
pretension,n. 自负
harness,n. 马具
bent,n. 爱好
dormitory,n. 宿舍
stitch,n. 针脚
manual,adj. 手工的；体力的，手册
mite,n. 极小量
burglar,n. 夜贼
scheme,n. 计划
addition,n. 添加
sensory,adj. 感觉的
grove,n. 小树林
materialistic,adj. 唯物主义的
detach,vt. 分离
thirsty,adj. 口渴的
inspect,vt. 检查
seam,n. 缝
overwork,
parental,adj. 父母亲的
sediment,n. 沉积
various,adj. 各种各样的
resit,n. 补考
menace,n. 威胁
contain,vi. 含有
fasten,vt. 使固定
establish,vi. 建立
position,n. 位置
simulate,adj. 模仿的
scratch,n. 擦伤
flexitime,
assist,n. 帮助
mammal,
illegal,n. 非法移民
ultimately,adv. 最后
sinew,n. 筋
artificial,adj. 人造的
veil,n. 面纱
tend,vt. 照料
removal,n. 免职
parallel,n. 平行线；平行的；类似的
compel,vt. 强迫
immediately,adv. 立即
institute,n. 学会
serial,n. 电视连续剧
oversee,vt. 监督；俯瞰；偷看到
reinforce,n. 加强，加固材料
commitment,n. 承诺
donation,n. 捐款
curious,adj. 好奇的
jungle,n. 丛林
overdraft,n. [金融] 透支
optical,adj. 光学的；眼睛的
otherwise,adv. 否则；另外；另外的
possession,n. 拥有
however,adv. 无论如何，然而
cultural,adj. 文化的
morality,n. 道德；品行
transaction,n. 交易；事务
twofold,adj. 双重的
solution,n. 解决方案
embassy,n. 大使馆
remark,n. 注意
delay,n. 延期
congress,n. 国会
germ,n. [植] 胚芽
fashion,n. 时尚
carousel,
splash,n. 飞溅的水；污点
beforehand,adj. 提前的
spade,n. 铁锹
filter,n. 滤波器
aspect,n. 方面
objection,n. 异议
tunnel,n. 隧道
contrast,n. 对比
effect,n. 影响
parcel,n. 包裹
distance,n. 距离
stem,n. 干
normal,adj. 正常的；正规的
sincere,adj. 真诚的
summarise,vt. 总结
vice versa,adv. 反之亦然
foetus,
merge,vt. 合并
aware,adj. 意识到的
guarantee,n. 保证
interrelationship,
stationery,n. 文具
limestone,
impulse,n. 冲动
wax,n. 蜡
incapacitate,vt. 使无能力
appear,vi. 出现
check,n. <美>支票；制止
collect,vt. 收集
attract,vt. 吸引
describe,vt. 描述
chunk,n. 大块
agency,n. 代理
blend,n. 混合
conceive,vi. 怀孕
affect,n. 情感
frustrate,vt. 挫败
extend,vt. 延伸
introduce,vt. 介绍
advice,n. 建议
attitude,n. 态度
deliver,n. 投球，交付
course,n. 科目；课程；过程
match,vt. 使比赛；使相配；敌得过
employ,n. 使用；雇用
pedal,n. 踏板
resident,n. 居民
optometrist,n. 验光师
degrade,vt. 贬低； 降级
particle,n. 颗粒
downpour,n. 倾盆大雨
telescope,n. 望远镜
transport,n. 运输
prepare,vt. 准备
registration,n. 登记
chaos,n. 混沌
gorge,n. 峡谷
recreational,adj. 娱乐的
systematic,adj. 系统的；体系的
subtropical,
detract,vi. 贬低；减去，转移
seal,n. 密封
depress,vt. 压抑
scarce,adj. 缺乏的
evidence,n. 证据
besides,prep. 除…之外，此外
exclusive,n. 独家新闻
majority,n. 多数
despite,prep. 尽管
dissolve,n. 叠化画面
release,n. 释放
deploy,n. 部署
vt. 配置
original,n. 原件
branch,n. 树枝
chancellor,n. 总理（德、奥等的）
herbivore,
flat,n. 平地；公寓，单调的，平坦的
occasionally,adv. 偶尔
harridan,n. 脾气暴躁的老泼妇
accommodation,n. 住处
static,n. 静电
section,n. 截面
scale,n. 规模
constantly,adv. 不断地
ailment,n. 小病
extracurricular,adj. 课外的
propel,vt. 推进
overseas,adv. 在海外
industrialise,
empire,n. 帝国；帝王统治
mechanic,n. 技工
fracture,n. 破裂
glacial,adj. 冰的
badminton,
dock,n. 码头
argument,n. 论证
chase,n. 追逐
brochure,n. 手册
convince,vt. 说服；使确信
teem,vt. 倒出
vi. 大量出现
confront,vt. 面对
exhibition,n. 展览
whereas,conj. 然而
oak,n. 橡树
additional,adj. 附加的
overlapping,adj. 重叠
poultry,
pregnancy,n. 怀孕；丰富
confirmation,n. 确认
unquote,
embezzlement,n. 侵占
acrobatic,adj. 杂技的
numerous,adj. 许多的
balcony,n. 阳台
postgraduate,n. 研究生
well-being,n. 幸福
at random,na. 碰运气地
prime,n. 初期
settle,n. 有背长椅
vi. 解决
fallow,n. 休耕地
troupe,n. 剧团
premise,n. 前提；上述各项；房屋地基

discerning,adj. 有辨识能力的
niggle,vi. 拘泥小节
prospectus,n. 内容说明书
liaise,vi. 保持联络
excavation,n. 挖掘
continental,n. 欧洲人
adj. 大陆的
modernism,n. 现代主义
artery,n. 动脉
premium,n. 额外费用
glamor,n. 魅力
barbecue,n. 烤肉
material,adj. 重要的；物质的
adapt,vi. 适应
vt. 使适应
gullibly,易受骗地
succession,n. 连续
sift,vt. 筛选
spark,n. 火花
sympathy,n. 同情
chill,n. 寒冷；寒心，冷冻
multinational,adj. 跨国公司的
exposure,n. 暴露
fierce,adj. 凶猛的
crime,n. 罪行
constitute,vt. 组成
deceive,v. 欺骗
haul,n. 拖
emission,n. （光、热等的）发射
procession,n. 队伍
bistro,
crash,n. 撞碎
pearl,n. 珍珠
workforce,n. 劳动力；工人总数
sociology,n. 社会学
violent,adj. 暴力的
frock,n. 女装
epidemic,n. 传染病
grab,n. 攫取
statue,n. 雕像
appliance,n. 器具
facility,n. 设施
consolation,n. 安慰
texture,n. 质地；纹理；结构；本质
assumption,n. 假定
dissatisfied,v. 使不满，不满意的
simultaneous,adj. 同时的
sundial,n. 日晷
toxic,adj. 有毒的
utilise,vt. 使用（等于utilize）
conformity,n. 一致
overrate,vt. 过高估计
dormant,adj. 休眠的
displace,vt. 取代
embrace,n. 拥抱，信奉
engrave,vt. 雕刻
disrespectful,adj. 无礼的
invade,vt. 侵略
arcade,n. 拱廊
commentary,n. 评论
recreate,vt. 再创造
mock,vt. 愚弄
territory,n. 领土
prohibit,vt. 阻止
shipment,n. 装货
calendar,n. 日历
magic,n. 巫术
slip,n. 滑
shatter,n. 碎片
truce,n. 停战
discount,n. 折扣
tough,n. 恶棍，艰苦的
volunteer,n. 志愿者
eruption,n. 爆发
pension,n. 退休金
assignment,n. 分配
assign,vt. 分配
concert,n. 音乐会
microbiology,
stainless,adj. 不锈的；纯洁的
hallowed,adj. 神圣的
climate,n. 气候
bring around,na. 说服
bring round,na. 说服
relevance,n. 关联
reluctant,adj. 不情愿的
regularity,n. 规则性
laterality,
predominant,adj. 主要的
trek,
vi. 艰苦跋涉，牛拉（货车）
daunt,vt. 使气馁
itinerary,n. 旅程
acclimatise,vi.& vt. （使）服水土
meadow,n. 草地
forthcoming,
structure,n. 结构
quantity,n. 量
integral,n. 积分；完整，积分的；完整的
intensive,n. 加强器，加强的
acknowledge,vt. 承认
liquor,n. 酒
presence,n. 存在
develop,vi. 发育
blast,n. 爆炸
pudding,
greatly,adv. 很
sporadically,adv. 零星地
imitate,vt. 模仿
constitution,n. 宪法；体制；建立
photography,n. 摄影
modem,
advocate,n. 提倡；支持者；律师
maintenance,n. 维护
spouse,
furnace,n. 火炉
expedition,n. 远征
incendiary,n. 燃烧弹；纵火犯
expansion,n. 膨胀
encase,vt. 包住
invalid,n. 病人
unbiased,adj. 公正的
postpone,vt. 使…延期；延缓
skim,n. 撇
preface,n. 前言
retain,vt. 保持
culminate,vt. 使结束
robotic,n. 机器人学
adj. 机器人的
profile,n. 侧面
salinity,n. 盐度
aggravation,n. 加剧
incident,n. 事件
previous,adj. 以前的
spice,n. 香料
bore,n. 孔
lull,vt. 使平静
county,n. 郡
betray,vt. 背叛
underlying,adj. 潜在的
dispiriting,adj. 令人沮丧的
opulent,adj. 丰富的
plush,adj. 豪华的
dispense,vi. 免除
behalf,n. 代表
initial,n. 词首大写字母，最初的
govern,vt. 管理
mingle,vi. 混合
charter,n. 宪章
formidable,adj. 强大的
belt,n. 带
crockery,n. 陶器
diversify,vt. 使多样化
threshold,n. 入口
vacation,n. 假期；（房屋）搬出，休假
skyscraper,n. 摩天楼
draft,n. 汇票；草稿；写提纲；征募

deter,vt. 制止
promising,v. 许诺
goal,n. 目标；球门
crush,n. 迷恋；压榨；拥挤的人群， 压碎
stream,n. 溪流
thigh,n. 大腿
maximise,vt. 最大化
sleek,adj. 圆滑的
entrust,vt. 委托
pamper,vt. 纵容
veterinarian,
demolition,n. 拆除（等于demolishment）
derelict,n. 遗弃物
synchronise,vt. 使同步
ornamental,adj. 装饰的
estuary,n. 河口
leaflet,n. 小叶
cascade,n. 小瀑布
irritate,vt. 刺激
hatch,n. 孵化
commence,v. 开始
initiative,n. 主动权
track,n. 轨道；足迹
fruitful,adj. 富有成效的
stationary,n. 不动的人
crawl,n. 爬行
rotate,vt. 使旋转
spoil,n. 次品
flask,n. [分化] 烧瓶；长颈瓶
camper,n. 露营者
attend,vi. 出席
rim,n. 边
motivate,vt. 刺激
patent,n. 专利权
architect,n. 建筑师缔造者
symptom,n. [临床] 症状
tremendous,adj. 极大的
in accordance with,na. 照
destination,n. 目的地
welfare,n. 福利
envisage,vt. 正视
binoculars,n. [光] 双筒望远镜
glutamate,n. [生化] 谷氨酸盐
spoilage,n. 损坏
misconception,n. 误解
vegetation,n. 植被；植物
conceptual,
erroneous,adj. 错误的
robust,adj. 强健的
get off track,脱轨
immense,adj. 巨大的
pull up stakes,na. 离开
baron,n. 男爵
independence,n. 独立性
intense,adj. 强烈的
thesis,n. 论文
withdraw,vt. 撤退
sceptical,adj. 怀疑的
flicker,n. 闪烁
cord,n. 绳索
lower,vt. 减弱
primary,n. 原色
coincide,vi. 一致
mess,n. 混乱；食堂
design,n. 设计
insist,vi. 坚持
crew,n. 队
exhaustion,n. 枯竭
geographical,adj. 地理的
indigenous,adj. 本土的
consistent,adj. 始终如一的
sympathetic,n. 交感神经
personalize,vt. 使个性化
incompatible,n. 互不相容的人或事物，不相容的
predominate,vt. 支配
complexity,n. 复杂
terrestrial,n. 陆地生物；地球的；陆地的
commission,n. 委员会
beware,vt. 注意
compensation,n. 补偿
issue,n. 问题；期号；发行物，发行
finite,n. 有限之物，有限的
curly,adj. 卷曲的
wildlife,
swallow,n. 燕子
hasty,adj. 轻率的
geometry,
stuff,n. 东西
landward,adj. 近陆的
vigorous,adj. 有力的
subordinate,n. 下属
correspond,vi. 符合
farewell,n. 告别
adjacent,adj. 邻近的
charity,n. 慈善
comedy,n. 喜剧
gorgeous,adj. 华丽的
recommend,vt. 推荐
grim,adj. 冷酷的
apparatus,n. 装置
dome,n. 圆屋顶
formal,n. 正式的社交活动
explore,vi. 探索
extension,n. 延长
consist,vi. 由…组成
brew,n. 啤酒
sacrifice,n. 牺牲
degenerate,n. 堕落的人，退化的
intelligent,adj. 智能的
historian,
fancy,n. 幻想
aspiration,n. 渴望
considerable,adj. 相当大的；重要的
clumsy,adj. 笨拙的
gleam,n. 微光
plastic,n. 塑料制品
fascinate,vt. 使着迷
evaluate,vt. 评价
curiosity,n. 好奇
residential,adj. 住宅的
sole,n. 鞋底
decade,n. 十年
fitting,n. 装配
rudimentary,adj. 基本的
courtship,n. 求爱
ritual,n. 仪式
stereoscopic,adj. 立体的
interface,n. 界面；接口；接合
preliminary,n. 准备
turbid,adj. 浑浊的
repertoire,n. 全部节目
monotonous,adj. 单调的
speculation,n. 投机
resemble,vt. 类似
perspective,n. 观点
rendition,n. 译文
metaphorical,adj. 比喻性的
interpret,vi. 解释
perimeter,n. 周长
jerk,n. 肌肉抽搐
visual,adj. 视觉的
doctoral,n. 博士论文，博士的
distort,vt. 扭曲
and so forth,na. 等等
expose,vt. 揭露
sponge,n. 海绵
audition,n. 听力
reliable,n. 可靠的人，可靠的
abstraction,n. 抽象
mount,vt. 增加；爬上；安装
announce,vt. 宣布
headline,n. 大标题
horror,n. 惊骇
collapse,n. 倒塌；失败；衰竭
assistance,n. 援助
discriminate,vi. 区别
destructive,adj. 破坏的；毁灭性的；有害的
authority,n. 权威
mild,adj. 温和的
capacity,n. 能力；容量；资格
latitude,n. 纬度
circus,n. 马戏
comet,
grin,v. 露齿而笑
democratic,adj. 民主的
install,vt. 安装
faculty,n. 科
cucumber,n. 黄瓜
institution,n. 制度
Kung Fu,n. 功夫（中国拳术）
probability,n. 可能性
bizarre,adj. 奇异的（指态度
gravity,n. 重力
cap,n. 盖
external,n. 外部
absurd,n. 荒诞
separate,n. .分开
inclination,n. 倾向
pressure,n. 压力；压迫
conviction,n. 定罪；确信；证明有罪
tranquility,n. 宁静
facilitate,vt. 促进
grand,n. 大钢琴
acumen,n. 聪明
dissertation,n. 论文
heap,n. 堆
blame,n. 责备
frame,n. 框架
installment,n. 安装
symbolism,n. 象征
ascribe,vt. 归因于
abstract,n. 摘要
disruption,n. 破坏
self-esteem,n. 自尊
literate,adj. 受过教育的
extinction,n. 灭绝
endanger,vt. 危及
perception,n. 知觉
prediction,n. 预报
foster,vt. 培养；养育
ancestral,adj. 祖先的
rekindle,vt. 重新点燃
revival,n. 复兴
inevitable,adj. 必然的
disenchantment,n. 醒悟
acupuncture,n. 针刺
loath,adj. 勉强的
orthodox,adj. 正统的
popularity,n. 普及
amplify,vt. 放大
reliance,n. 信赖
nightmare,n. 恶梦
leap,vi. 跳
conscious,adj. 意识到的
divine,n. 牧师
decompose,vi. 分解
spot on,adj. 完全正确
investigate,v. 调查
underneath,prep. 在…的下面
division,n. [数] 除法
gamble,n. 赌博
ancient,n. 古代人；老人，古代的；古老的
strand,n. 线
specimen,n. 样品
motive,n. 动机
furious,adj. 激烈的
access,n. 进入
whaling,n. 捕鲸
exhilaration,n. 愉快
inland,n. 内地
barrel,n. 桶；枪管
claim,n. 要求
digest,n. 文摘
decipher,n. 密电译文， 解释
extraordinary,adj. 非凡的
aluminium,
stale,n. 尿，陈腐的
snap up,na. 咬住
hang on,v. 坚守
impair,vt. 损害
inescapable,adj. 不可避免的
cable,n. 缆绳
wedge,n. 楔子
judicious,adj. 明智的
landfill,n. 垃圾填埋地
cast,n. 投掷
curtain,n. 幕
uniform,n. 制服， 统一的
quartz,
longitudinal,adj. 长度的
disillusion,n. 幻灭
clientele,n. 客户
holistic,adj. 整体的
exodus,
concur,vi. 同意
preventative,n. 预防法
complementary,adj. 补足的
adjunct,n. 附属物
simplistic,adj. 过分简单化的
hiccup,n. 打嗝，间断说出
prowess,n. 英勇
engross,vt. 使全神贯注
tease,vt. 取笑
exuberant,adj. 繁茂的；生气勃勃的
cavort,vi. 腾跃
socialise,vt. 使社会化
optimum,adj. 最适宜的
n. 最佳效果
molecule,n. [化学] 分子；微小颗粒
fitness,n. 健康
regarding,prep. 关于
contact,n. 接触
creative,adj. 创造性的
consultant,n. 顾问
secondary,n. 副手
in favour of,na. 赞成
fraction,n. 分数
dictation,n. 听写
engage,vi. 从事；答应
populate,vt. 居住于
merchandising,n. 推销
meteorology,n. 气象状态
dealer,n. 经销商；商人
weapon,n. 武器
authorise,vt. 授权
pore over,注视
compatriot,n. 同胞
dreadful,adj. 可怕的；糟透的
laboratory,n. 实验室
shuttle,n. 航天飞机
entail,vt. 使需要
alchemist,n. 炼金术士
less than,adj. 少于

contrary,n. 相反
shift,n. 移动
mere,adj. 仅仅的
monitor,n. 监视器
derive,vt. 源于
minimal,adj. 最低的
sketch,n. 素描
lag,n. 落后
trigger,n. 扳机，引发
supplement,vt. 增补
offend,vt. 冒犯
vivid,adj. 生动的
as for,na. 至于，谈到，对于

as to,na. 〈正式〉以至于，对于
enclose,vt. 围绕
dose,n. 剂量；一剂
supply,n. 供给
on the horizon,na. 在地平线上

compress,vt. 压缩
interest,n. 兴趣
overcome,vt. 克服
achievement,n. 成就
dusk,n. 黄昏
cease,n. 停止
arable,n. 耕地，适于耕种的
congested,adj. 堵塞的
split,n. 劈开
distinct,adj. 明显的
negotiate,vt. 谈判
cruel,adj. 残酷的
Nordic,adj. 北欧人的
linger,vi. 徘徊
womb,n. [解剖] 子宫
advantageous,adj. 有利的
manoeuvre,vi. 调动
predatory,adj. 掠夺的
converse,n. 逆行
context,n. 环境
entrepreneurial,adj. 企业家的
dearth,n. 缺乏
adventurous,adj. 爱冒险的
exploitative,adj. 剥削的
impoverish,vt. 使贫穷
convection,n. [流][气象] 对流
plateau,n. 高原，稳定阶段
crust,n. 地壳
overlie,vt. 躺在…上面
brittle,adj. 易碎的
collision,n. 碰撞；冲突
extrusion,n. 挤出
pumice,n. 浮石
predictable,adj. 可预言的
geological,adj. 地质的
halve,vt. 二等分
assimilate,vt. 吸收
harbour,n. 海港（等于harbor）
hybrid,n. 杂种
inhale,vt. 吸入
decibel,n. 分贝
voyage,n. 航行
cherry,n. 樱桃；樱桃树；樱桃红
contingency,n. 偶然性
for the sake of,adv. 为了…起见

relieve,vt. 解除
stance,n. 立场
conduct,n. 进行
mate,n. 助手
attack,n. 攻击
discredit,n. 怀疑
flora,n. 植物区系
mass,n. 块
anticipate,vt. 预期
operate,vi. 运转
bypass,n. 旁路
undetected,adj. 未被发现的
shaft,n. 拍杆
channel,n. 通道；频道；海峡，引导
determine,v. （使）下决心
dominate,vt. 控制
instrumental,n. 器乐曲；工具字
load,n. 负载
improve,vt. 改善
sensitive,adj. 敏感的
abolish,vt. 废除
conception,n. 怀孕
encounter,n. 遭遇
bubble,n. 气泡
sample,n. 样品；样本
accountant,n. 会计师
plaster,n. 石膏
storey,n. [建] 楼层
gang,n. 群
enterprise,n. 企业
verify,vt. 核实
string,n. 线
litter,n. 垃圾；轿
manor,n. 庄园；领地
location,n. 位置（形容词locational）
breakdown,n. 故障
irresistible,adj. 不可抵抗的
fluency,n. （语言、文章）流利
transcription,n. 抄写
introspection,n. 内省
elicitation,n. 引出
informant,n. 被调查者
ambiguity,n. 含糊
generative,adj. 生殖的
recourse,n. 求援
scrupulous,adj. 细心的
utterance,n. 表达
emeritus,adj. 退休的
bilingual,n. 通两种语言的人， 双语的
substitution,n. 代替
mundane,adj. 世俗的
foreseeable,adj. 可预知的
invoke,vt. 调用
hurl,n. 投掷，丢下
duplicate,n. 副本
mushroom,n. 蘑菇
adaptation,n. 适应；改编
elite,n. 精英
up-to-date,adj. 最新的
bury,vt. 埋葬
moderate,adj. 稳健的
bold,adj. 大胆的
award,n. 奖品
hassle,n. 困难
addict,n. 有瘾的人
restrain,vt. 抑制
reproduce,vt. 复制
signpost,n. 路标
intent,n. 意图
artefact,n. 工艺品；人工制品
highland,n. 高地
application,n. 应用
acquaintance,n. 熟人
challenge,n. 挑战
guideline,n. 指导方针，参考
hemisphere,n. 半球
civil,adj. 公民的
viable,adj. 可行的
cameral,法院的，立法院的
gigantic,adj. 巨大的
venue,n. 审判地
grieve,vi. 悲痛
studio,n. 工作室
inhabitant,n. 居民
suicidal,adj. 自杀的
bilateral,adj. 双边的
clinic,n. 临床
memorable,adj. 显著的
dazzle,n. 耀眼的光
vast,n. 浩瀚
underground,n. 地下
compete,vi. 竞争
prescription,n. 药方
crude,n. 原油；粗糙的；天然的
vary,vi. 变化
compose,vt. 构成
in vain,na. 无益地
alley,n. 小巷
dolphin,n. 海豚

bounce,n. 弹力；活力，弹起
platform,n. 平台；月台
atmosphere,n. 气氛
appoint,vt. 任命
characteristic,n. 特征
identify,vt. 确定；鉴定；识别
altitude,n. 高地
possess,vt. 控制；持有；迷住
excitement,n. 兴奋
contradiction,n. 矛盾
painstaking,adj. 艰苦的
humanistic,adj. 人文主义的
coherent,adj. 连贯的
outlook,n. 展望
apportion,vt. 分配
finitude,n. 有限
exhaustible,adj. 可被用尽的
revelation,n. 启示
resistance,n. 阻力
attainable,adj. 可得到的
indispensable,n. 不可缺少之物
cuisine,n. 烹饪
reputable,adj. 声誉好的
overshadow,vt. 使失色
unparalleled,adj. 无比的
opulence,n. 富裕
supersede,vt. 取代
exploitation,n. 开发
passionate,adj. 热情的；热烈的
poisonous,adj. 有毒的
strip,n. 带
exhaust,n. 排气
mysterious,adj. 神秘的
spite,n. 不顾
passport,n. 护照
divert,vt. 转移
dissemination,n. 宣传
contradict,vt. 反驳
organize,vt. 组织
column,n. 纵队
source,n. 来源
cater,vt. 投合
lobby,n. 大厅
flexible,adj. 灵活的
penalty,n. 罚款
comply,vi. 遵守；顺从
racket,n. 球拍；吵闹
capsule,n. 胶囊
canteen,n. 食堂
aeronautics,n. 航空学
adopt,vi. 采取
lease,n. 租约
bit,n. [计] 比特（二进位制信息单位）；少量；马嚼子；辅币；老一套；一点
conceal,vt. 隐藏
compromise,n. 妥协
haphazard,n. 偶然
essential,n. 本质
urge,n. 强烈的欲望
feasible,adj. 可行的
cereal,n. 谷类
existence,n. 存在
apply,vi. 申请；涂
slurry,n. 泥浆
admission,n. 承认
attempt,n. 企图
jaw,n. 颌
inference,n. 推理
loop,vi. 打环
subtract,vt. 减去
linguistic,adj. 语言的
aptitude,n. 天资
lava,n. 火山岩浆
premier,n. 总理
enquiry,n. [计] 询问
lawsuit,n. 诉讼（尤指非刑事案件）
pack,n. 包装
prescribe,vt. 规定
skull,n. 头盖骨
domination,n. 控制
animate,adj. 有生命的，使有生气
accountancy,n. 会计工作
availability,n. 可用性
payable,adj. 应付的
solicitor,n. 律师
departure,n. 离开
audit,n. 审计
receipt,n. 收到
scamper,n. 蹦跳；奔跑
spiral,n. 螺旋；盘旋的
encode,vt. （将文字材料）译成密码；编码
scout,n. 搜索
regurgitate,vt. 使回流
propellant,n. 推进物
ejection,n. 喷出
barrage,n. 弹幕
intrigue,n. 阴谋
transition,n. 过渡
realm,n. 领域
ingredient,n. 原料
friction,n. 摩擦
astronaut,n. 宇航员
banner,n. 横幅广告，旗帜
ounce,n. 盎司
technique,n. 技巧
stack,vt. 堆叠；堆积
petrol,n. （英）汽油
squeeze,n. 压榨
sorrow,n. 悲伤
arboreal,adj. 树木的
facade,n. 正面
post-mortem,n. 验尸，死后
disillusionment,n. 幻灭
subject,n. 主题
blunt,adj. 钝的
stockpile,n. 库存
indicate,vt. 表明
